MemberID,ApplicationType,EmpLength,EmpTitle,HomeOwnership,AnnualIncome,DTI,TotalAcc
1314167,INDIVIDUAL,< 1 year,Ryder,RENT,30000,0.01,4
1288686,INDIVIDUAL,9 years,MKC Accounting,RENT,48000,0.0535,4
1304116,INDIVIDUAL,4 years,Chemat Technology Inc,RENT,50000,0.2088,11
1272024,INDIVIDUAL,< 1 year,barnes distribution,MORTGAGE,42000,0.054,9
1302971,INDIVIDUAL,10+ years,J&J Steel Inc,MORTGAGE,83000,0.0231,28
1294481,INDIVIDUAL,3 years,Studio 94 Corp,RENT,28000,0.126,11
1301833,INDIVIDUAL,10+ years,American Airlines,MORTGAGE,94800,0.2453,30
1291243,INDIVIDUAL,10+ years,SCI Mahanoy,OWN,59000,0.0665,23
1299335,INDIVIDUAL,10+ years,Tech Data Corp,MORTGAGE,116400,0.0394,31
1298401,INDIVIDUAL,10+ years,teltow contracting,MORTGAGE,36000,0.1773,21
1289131,INDIVIDUAL,10+ years,Ericsson,MORTGAGE,75000,0.088,33
1295018,INDIVIDUAL,3 years,myrvpartsplace.com,RENT,75000,0.2288,13
1294929,INDIVIDUAL,4 years,AEG LIVE,RENT,35000,0.0401,3
1249642,INDIVIDUAL,5 years,henkel corporation,RENT,48000,0.1533,15
1293124,INDIVIDUAL,4 years,AXA Assistance,RENT,92000,0.106,18
1292578,INDIVIDUAL,< 1 year,HSA-UWC,RENT,60000,0.063,14
1277552,INDIVIDUAL,1 year,Child's Day,RENT,16800,0.035,8
1291775,INDIVIDUAL,4 years,OEC Freight,RENT,40000,0.1869,7
1291322,INDIVIDUAL,10+ years,Sandestin Beach Hilton,MORTGAGE,35000,0.1392,23
1289636,INDIVIDUAL,10+ years,,OWN,40000,0.0957,13
112227,INDIVIDUAL,6 years,Norman G. Olson Insurance,RENT,40000,0.0255,7
183496,INDIVIDUAL,< 1 year,,MORTGAGE,120000,0.0767,20
232106,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",MORTGAGE,60000,0.1108,33
211606,INDIVIDUAL,4 years,self employed,OWN,72000,0.0512,8
847024,INDIVIDUAL,10+ years,Clark County School District,MORTGAGE,70800,0.0795,39
1233120,INDIVIDUAL,6 years,The Mount Sinai School of Medicine,MORTGAGE,80000,0.0648,11
454145,INDIVIDUAL,< 1 year,Blue Ridge Design Group,MORTGAGE,36000,0.15,24
544784,INDIVIDUAL,10+ years,Abbott Nutrition,MORTGAGE,45000,0.152,24
