StateKey,StateCode,StateName
1,GA,Georgia
2,CA,California
3,TX,Texas
4,IL,Illinois
5,PA,Pennsylvania
6,FL,Florida
7,MI,Michigan
8,RI,Rhode Island
9,NY,New York
10,MD,Maryland
11,WI,Wisconsin
12,NV,Nevada
13,UT,Utah
14,WA,Washington
15,NH,New Hampshire
16,HI,Hawaii
17,MA,Massachusetts
18,OK,Oklahoma
19,NJ,New Jersey
20,OH,Ohio
21,AZ,Arizona
22,CT,Connecticut
23,MN,Minnesota
24,CO,Colorado
25,TN,Tennessee
26,VA,Virginia
27,MO,Missouri
28,DE,Delaware
29,NM,New Mexico
30,LA,Louisiana
31,AR,Arkansas
32,KY,Kentucky
33,NC,North Carolina
34,SC,South Carolina
35,WV,West Virginia
36,KS,Kansas
37,WY,Wyoming
38,OR,Oregon
39,AL,Alabama
40,VT,Vermont
41,MS,Mississippi
42,DC,District of Columbia
43,MT,Montana
44,SD,South Dakota
45,AK,Alaska
46,IN,Indiana
47,ME,Maine
48,ID,Idaho
49,NE,Nebraska
50,IA,Iowa
