LoanID,MemberID,AddressState,ApplicationType,EmpTitle,Grade,IssueDate,LastCreditPullDate,LastPaymentDate,LoanStatus,NextPaymentDate,Purpose,SubGrade,Term,VerificationStatus,Installment,InterestRate,LoanAmount,TotalPayment,LoanKey
1077430,1314167,GA,INDIVIDUAL,Ryder,C,11-02-2021,13-09-2021,13-04-2021,Charged Off,13-05-2021,car,C4, 60 months,Source Verified,59.83,0.1527,2500,1009,1
1072053,1288686,CA,INDIVIDUAL,MKC Accounting,E,01-01-2021,14-12-2021,15-01-2021,Fully Paid,15-02-2021,car,E1, 36 months,Source Verified,109.43,0.1864,3000,3939,2
1069243,1304116,CA,INDIVIDUAL,Chemat Technology Inc,C,05-01-2021,12-12-2021,09-01-2021,Charged Off,09-02-2021,car,C5, 36 months,Not Verified,421.65,0.1596,12000,3522,3
1041756,1272024,TX,INDIVIDUAL,barnes distribution,B,25-02-2021,12-12-2021,12-03-2021,Fully Paid,12-04-2021,car,B2, 60 months,Source Verified,97.06,0.1065,4500,4911,4
1068350,1302971,IL,INDIVIDUAL,J&J Steel Inc,A,01-01-2021,14-12-2021,15-01-2021,Fully Paid,15-02-2021,car,A1, 36 months,Verified,106.53,0.0603,3500,3835,5
1062608,1294481,CA,INDIVIDUAL,Studio 94 Corp,C,17-07-2021,16-03-2021,12-08-2021,Fully Paid,12-09-2021,car,C3, 36 months,Not Verified,275.96,0.1465,8000,8637,6
1067441,1301833,TX,INDIVIDUAL,American Airlines,C,19-11-2021,14-06-2021,13-12-2021,Fully Paid,13-01-2022,car,C2, 36 months,Verified,205.86,0.1427,6000,7218,7
1066424,1291243,PA,INDIVIDUAL,SCI Mahanoy,A,11-06-2021,14-07-2021,14-07-2021,Fully Paid,14-08-2021,car,A4, 36 months,Source Verified,172.1,0.079,5500,6172,8
1065254,1299335,FL,INDIVIDUAL,Tech Data Corp,A,02-09-2021,15-06-2021,12-10-2021,Charged Off,12-11-2021,car,A5, 36 months,Verified,762.08,0.089,24000,8650,9
1064589,1298401,MI,INDIVIDUAL,teltow contracting,B,09-02-2021,16-03-2021,16-03-2021,Fully Paid,16-04-2021,car,B5, 60 months,Not Verified,93.21,0.1269,4125,5551,10
1057766,1289131,TX,INDIVIDUAL,Ericsson,B,22-07-2021,13-09-2021,13-08-2021,Fully Paid,13-09-2021,car,B5, 36 months,Not Verified,181.15,0.1269,5400,6277,11
1062734,1295018,CA,INDIVIDUAL,myrvpartsplace.com,B,11-09-2021,13-03-2021,12-10-2021,Charged Off,12-11-2021,car,B4, 36 months,Not Verified,374.26,0.1242,11200,4225,12
1062654,1294929,CA,INDIVIDUAL,AEG LIVE,B,11-08-2021,13-10-2021,13-09-2021,Fully Paid,13-10-2021,car,B3, 36 months,Not Verified,165.38,0.1171,5000,5728,13
1020855,1249642,CA,INDIVIDUAL,henkel corporation,B,11-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,car,B5, 36 months,Not Verified,268.36,0.1269,8000,9661,14
1060945,1293124,IL,INDIVIDUAL,AXA Assistance,B,11-10-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,car,B4, 36 months,Not Verified,200.5,0.1242,6000,7218,15
1060995,1292578,RI,INDIVIDUAL,HSA-UWC,B,11-12-2021,14-02-2021,13-10-2021,Charged Off,13-11-2021,car,B4, 36 months,Source Verified,400.99,0.1242,12000,9547,16
1046507,1277552,TX,INDIVIDUAL,Child's Day,B,02-12-2021,16-04-2021,14-12-2021,Fully Paid,14-01-2022,car,B1, 36 months,Verified,98.29,0.0991,3050,3538,17
1059936,1291775,NY,INDIVIDUAL,OEC Freight,C,09-10-2021,15-09-2021,12-11-2021,Fully Paid,12-12-2021,car,C2, 36 months,Source Verified,343.09,0.1427,10000,11156,18
1059497,1291322,FL,INDIVIDUAL,Sandestin Beach Hilton,B,12-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,car,B2, 36 months,Verified,162.87,0.1065,5000,5863,19
1058060,1289636,MD,INDIVIDUAL,,D,02-02-2021,16-05-2021,15-02-2021,Fully Paid,15-03-2021,car,D1, 36 months,Not Verified,176.51,0.1629,5000,6361,20
112245,112227,WI,INDIVIDUAL,Norman G. Olson Insurance,A,07-07-2021,16-04-2021,10-08-2021,Fully Paid,10-09-2021,car,A2, 36 months,Not Verified,155.38,0.0743,5000,5594,21
207910,183496,FL,INDIVIDUAL,,A,08-01-2021,16-05-2021,10-02-2021,Charged Off,10-03-2021,car,A2, 36 months,Not Verified,69.14,0.0743,2225,2508,22
65426,232106,MI,INDIVIDUAL,"Infotrieve, Inc.",B,09-08-2021,16-05-2021,11-06-2021,Charged Off,11-07-2021,car,B1, 36 months,Not Verified,131.22,0.1114,4000,2755,23
211723,211606,MD,INDIVIDUAL,self employed,C,08-01-2021,09-12-2021,08-08-2021,Charged Off,08-09-2021,car,C2, 36 months,Not Verified,262.26,0.1109,8000,2135,24
662350,847024,NV,INDIVIDUAL,Clark County School District,A,11-01-2021,13-02-2021,12-08-2021,Charged Off,12-09-2021,car,A5, 36 months,Not Verified,77.95,0.0766,2500,1479,25
1006769,1233120,PA,INDIVIDUAL,The Mount Sinai School of Medicine,A,11-11-2021,13-11-2021,13-06-2021,Charged Off,13-07-2021,car,A3, 36 months,Not Verified,124.45,0.0751,4000,2479,26
405898,454145,GA,INDIVIDUAL,Blue Ridge Design Group,A,09-06-2021,16-05-2021,09-12-2021,Charged Off,09-01-2022,car,A5, 36 months,Not Verified,385.14,0.0963,12000,2306,27
445846,544784,MI,INDIVIDUAL,Abbott Nutrition,A,09-10-2021,16-05-2021,12-02-2021,Charged Off,12-03-2021,car,A5, 36 months,Not Verified,222.41,0.0894,7000,6446,28
659221,843127,MI,INDIVIDUAL,rice &werthmann,A,11-01-2021,16-05-2021,13-10-2021,Charged Off,13-11-2021,car,A5, 36 months,Not Verified,280.62,0.0766,9000,8945,29
782425,985412,UT,INDIVIDUAL,Five County Assoc of Governments,A,11-06-2021,16-05-2021,12-07-2021,Charged Off,12-08-2021,car,A5, 36 months,Not Verified,152.42,0.089,4800,1978,30
458328,570309,GA,INDIVIDUAL,north ga dentention center,B,10-01-2021,10-11-2021,10-07-2021,Charged Off,10-08-2021,car,B2, 36 months,Not Verified,164.85,0.1148,5000,884,31
744344,942813,WA,INDIVIDUAL,,B,11-05-2021,16-05-2021,13-01-2021,Charged Off,13-02-2021,car,B4, 36 months,Not Verified,197.83,0.1149,6000,3950,32
1026463,1255647,FL,INDIVIDUAL,sky powersports,C,11-11-2021,14-04-2021,13-12-2021,Charged Off,13-01-2022,car,C3, 36 months,Not Verified,217.32,0.1465,6300,5554,33
489679,624878,FL,INDIVIDUAL,Synovus Bank,D,10-03-2021,12-12-2021,12-07-2021,Charged Off,12-08-2021,car,D4, 36 months,Not Verified,210.07,0.157,6000,5986,34
519658,671773,GA,INDIVIDUAL,ACUMEN FISCAL AGENT/MS ROBINSON,A,10-05-2021,12-01-2021,11-08-2021,Charged Off,11-09-2021,car,A5, 36 months,Not Verified,148.59,0.0788,4750,2216,35
470041,593245,CA,INDIVIDUAL,inspired automation inc,A,10-01-2021,12-03-2021,11-10-2021,Charged Off,11-11-2021,car,A1, 36 months,Not Verified,148.32,0.0705,4800,3210,36
393852,432187,NH,INDIVIDUAL,self,B,09-05-2021,11-06-2021,11-01-2021,Charged Off,11-02-2021,car,B4, 36 months,Not Verified,50.58,0.1189,9000,1045,37
725534,920793,TX,INDIVIDUAL,Able Electronics,B,11-04-2021,13-12-2021,13-07-2021,Charged Off,13-08-2021,car,B4, 36 months,Not Verified,60.34,0.1074,1850,1655,38
428387,506847,PA,INDIVIDUAL,Abraxas I,C,09-07-2021,16-05-2021,09-10-2021,Charged Off,09-11-2021,car,C2, 36 months,Not Verified,141.2,0.1284,4200,282,39
783561,986688,CA,INDIVIDUAL,La curacao,A,11-06-2021,12-06-2021,12-02-2021,Charged Off,12-03-2021,car,A4, 36 months,Not Verified,186.61,0.0749,6000,1575,40
969474,1190684,HI,INDIVIDUAL,Outback Steakhouse,A,11-10-2021,14-03-2021,13-10-2021,Charged Off,13-11-2021,car,A5, 36 months,Not Verified,228.63,0.089,7200,5845,41
773111,975126,WA,INDIVIDUAL,URS corp,A,11-06-2021,14-04-2021,13-11-2021,Charged Off,13-12-2021,car,A5, 36 months,Not Verified,75.76,0.0849,2400,2278,42
